#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","ping localhost","Completed","2/8/2017 9:25:33 PM","2/8/2017 9:25:36 PM"
"2","ping mahvm","Completed","2/8/2017 9:25:46 PM","2/8/2017 9:25:49 PM"
"3","ping sh99demo.uksouth.cloudapp.azure.com","Completed","2/8/2017 9:26:20 PM","2/8/2017 9:26:38 PM"
"4","ping 51.140.48.165","Stopped","2/8/2017 9:26:53 PM","2/8/2017 9:26:58 PM"
"5","winrm quickconfig","Completed","2/8/2017 9:27:04 PM","2/8/2017 9:27:04 PM"
"6","$cred = Get-Credential","Completed","2/8/2017 9:27:49 PM","2/8/2017 9:28:12 PM"
"7","$s = New-PSSession -ComputerName ""sh99demo.uksouth.cloudapp.azure.com"" -Credential $cred","Completed","2/8/2017 9:28:52 PM","2/8/2017 9:28:52 PM"
"8","get-help about_Remote_Troubleshooting","Completed","2/8/2017 9:29:15 PM","2/8/2017 9:29:31 PM"
"9","get-help about_Remote_Tadguyroubleshooting | more","Completed","2/8/2017 9:29:44 PM","2/8/2017 9:30:18 PM"
"10","Enable-PSRemoting -Force","Completed","2/8/2017 9:30:22 PM","2/8/2017 9:30:29 PM"
"11","$s = New-PSSession -ComputerName ""sh99demo.uksouth.cloudapp.azure.com"" -Credential $cred","Completed","2/8/2017 9:30:34 PM","2/8/2017 9:30:34 PM"
"12","get-help about_Remote_Troubleshooting | more","Completed","2/8/2017 9:30:49 PM","2/8/2017 9:32:03 PM"
"13","Set-NetFirewallRule -Name ""WINRM-HTTP-In-TCP-PUBLIC"" -RemoteAddress Any","Completed","2/8/2017 9:32:10 PM","2/8/2017 9:32:10 PM"
"14","$s = New-PSSession -ComputerName ""sh99demo.uksouth.cloudapp.azure.com"" -Credential $cred","Completed","2/8/2017 9:32:43 PM","2/8/2017 9:32:43 PM"
"15","get-help about_Remote_Troubleshooting | more","Completed","2/8/2017 9:32:52 PM","2/8/2017 9:34:13 PM"
"16","$cred = Get-Credential","Completed","2/8/2017 9:34:23 PM","2/8/2017 9:34:54 PM"
